圓藝企業股份有限公司	114臺北市內湖區基湖路35巷49號
鑫眾有限公司	114臺北市內湖區瑞光路258巷53號4樓
創維企業有限公司	114臺北市內湖區基湖路35巷51號6樓之1
盈喬科技有限公司	114臺北市內湖區瑞湖街193號2樓
寶路開發股份有限公司	114臺北市內湖區瑞光路26巷36弄8號5樓
羅光股份有限公司	114臺北市內湖區瑞光路100號4樓
沃克影像科技有限公司	114臺北市內湖區民權東路6段23號3樓
霳昇科技股份有限公司	114臺北市內湖區瑞光路411號6樓
捷博投資股份有限公司	114臺北市內湖區洲子街88號7樓之1
廣紘科技有限公司	114臺北市內湖區瑞光路513巷28號3樓
風火輪國際事業有限公司	114臺北市內湖區陽光街345巷5號5樓之1
維用國際股份有限公司	114臺北市內湖區瑞光路8號4樓
康馳菸酒貿易股份有限公司	114臺北市內湖區堤頂大道2段295號7樓
怡坊食品有限公司	114臺北市內湖區瑞光路584號
怡富資融股份有限公司	114臺北市內湖區港墘路200號6樓之1
為客資訊股份有限公司	114臺北市內湖區民權東路6段16之1號4樓
德怡科技股份有限公司	114臺北市內湖區洲子街181號2樓
新竑亮實業股份有限公司	114臺北市內湖區內湖路1段512號3樓
嘉邦投資股份有限公司	114臺北市內湖區瑞光路206號5樓
瑞馳國際運通股份有限公司	114臺北市內湖區堤頂大道2段285號3樓
雲流科技股份有限公司	114臺北市內湖區內湖路1段300號4樓之5
古意惟許有限公司	114臺北市內湖區堤頂大道2段497號12樓之8
年興國際投資股份有限公司	114臺北市內湖區內湖路1段308號12樓之2
美利達國際股份有限公司	114臺北市內湖區行忠路195號6樓
星辰國際企業有限公司	114臺北市內湖區瑞光路288號10樓
異言堂廣告股份有限公司	114臺北市內湖區內湖路1段360巷8號4樓
華展光電股份有限公司	114臺北市內湖區內湖路1段396號5樓
新通環宇股份有限公司	114臺北市內湖區陽光街347號6樓之1
台灣新蛋股份有限公司	114臺北市內湖區瑞光路513巷31號10樓
招商物產管理有限公司	114臺北市內湖區內湖路1段396號12樓
維渥特科技股份有限公司	114臺北市內湖區瑞湖街88號9樓
泰志股份有限公司	114臺北市內湖區瑞光路76巷41號3樓
中美和石油化學股份有限公司	114臺北市內湖區堤頂大道2段413號6樓
東野企業有限公司	114臺北市內湖區基湖路35巷16號2樓
辰富國際股份有限公司	114臺北市內湖區瑞光路112巷5號4樓
關中股份有限公司	114臺北市內湖區瑞光路298號9樓
福馨國際股份有限公司	114臺北市內湖區瑞光路358巷36號7樓
培泰股份有限公司	114臺北市內湖區瑞光路358巷38弄36號3樓之2
又寧有限公司	114臺北市內湖區內湖路1段392號3樓
六鉅國際股份有限公司	114臺北市內湖區洲子街60號7樓
阿蘇企業有限公司	114臺北市內湖區洲子街75號2樓
三大文化股份有限公司	114臺北市內湖區瑞湖街36號3樓
強生復健器材製造廠有限公司	114臺北市內湖區舊宗路2段95號2樓
雅林貿易股份有限公司	114臺北市內湖區堤頂大道2段205號6樓
商杰股份有限公司	114臺北市內湖區基湖路10巷52號8樓
優杰電子股份有限公司	114臺北市內湖區陽光街351號2樓之3
嘉信資訊科技股份有限公司	114臺北市內湖區洲子街77號4樓
銓聯資訊有限公司	114臺北市內湖區瑞光路583巷21號5樓之5
鋐璟機電股份有限公司	114臺北市內湖區瑞光路258巷2號4樓之2
愛德士生物科技股份有限公司	114臺北市內湖區瑞湖街88號6樓之1
鴻富投資股份有限公司	114臺北市內湖區內湖路1段512號3樓
聯華電信股份有限公司	114臺北市內湖區舊宗路2段105號4樓
豐之谷國際股份有限公司	114臺北市內湖區瑞光路258巷50號7樓
新紀元媒體股份有限公司	114臺北市內湖區瑞光路399號3樓
宏遠電訊股份有限公司	114臺北市內湖區瑞光路407號9樓
眾晶科技股份有限公司	114臺北市內湖區港墘里陽光街300號8樓
鵬寶科技股份有限公司	114臺北市內湖區瑞光路581號
台灣西門子軟體工業股份有限公司	114臺北市內湖區洲子街65號9樓
大學創業投資股份有限公司	114臺北市內湖區陽光街300號8樓
鯨寶科技股份有限公司	114臺北市內湖區瑞光路581號
帝希科技股份有限公司	114臺北市內湖區瑞光路583巷29號2樓
世欣投資開發股份有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
維州生物科技股份有限公司	114臺北市內湖區瑞光路258巷2號3樓
嘉倫提科技股份有限公司	114臺北市內湖區港墘路221巷35號5樓
晶元實業股份有限公司	114臺北市內湖區陽光街351號4樓
凱巨有限公司	114臺北市內湖區瑞光路316巷56號2樓
雍吉科技股份有限公司	114臺北市內湖區陽光街345巷5號2樓
恩泰企業有限公司	114臺北市內湖區洲子街181號5樓
綠升有限公司	114臺北市內湖區陽光街345巷12號2樓
誠融實業股份有限公司	114臺北市內湖區民權東路6段23之1號
統陽房屋仲介有限公司	114臺北市內湖區內湖路1段512號3樓
翔盛國際貿易股份有限公司	114臺北市內湖區瑞光路605號
嘉晏光學股份有限公司	114臺北市內湖區洲子街80號2樓、2樓之1
米地摩爾實業有限公司	114臺北市內湖區瑞光路358巷36號
昌宏興業股份有限公司	114臺北市內湖區瑞光路583巷24號5樓
統一資訊股份有限公司	114臺北市內湖區陽光街246號6樓
常欣科技顧問股份有限公司	114臺北市內湖區瑞光路188巷54號2樓
蘭吉企業有限公司	114臺北市內湖區內湖路1段120巷21號5樓
創傑國際股份有限公司	114臺北市內湖區陽光街381號7樓
得際股份有限公司	114臺北市內湖區內湖路1段396號9樓之1
馥鈺國際製作有限公司	114臺北市內湖區瑞光路188巷46號7樓
聯合拉曼應用股份有限公司	114臺北市內湖區瑞光路358巷38弄36號8樓之1
京傳企業股份有限公司	114臺北市內湖區瑞光路358巷38弄30號2樓、32號2樓
中國至紡成衣有限公司	114臺北市內湖區瑞湖街103號2樓
凱爾威科技有限公司	114臺北市內湖區民權東路6段18號5樓
威記投資股份有限公司	114臺北市內湖區內湖路1段308號11樓之2
揚佳實業有限公司	114臺北市內湖區內湖路1段120巷19號
富驊投資股份有限公司	114臺北市內湖區瑞光路34號6樓
敦乾投資股份有限公司	114臺北市內湖區基湖路10巷1號9樓
薪聞國際娛樂有限公司	114臺北市內湖區基湖路3巷9號4樓
鼎誥汽車股份有限公司	114臺北市內湖區瑞光路66巷37號
先輝投資股份有限公司	114臺北市內湖區民權東路6段15巷39號4樓
瑞積電子股份有限公司	114臺北市內湖區堤頂大道2段15號5樓之1
宗國有限公司	114臺北市內湖區舊宗路2段121巷28號1樓
警新國際企業有限公司	114臺北市內湖區民權東路6段15巷16號3樓之5
台北美臻貿易有限公司	114臺北市內湖區瑞光路298號4樓
元鎂科技股份有限公司	114臺北市內湖區洲子街71號10樓
路益股份有限公司	114臺北市內湖區瑞光路192號6樓之1
海磊實業有限公司	114臺北市內湖區瑞光路188巷56號2樓
中友圖書有限公司	114臺北市內湖區瑞光路258巷55號4樓
積甲科技股份有限公司	114臺北市內湖區民權東路6段11巷43之1號4樓
果實文化有限公司	114臺北市內湖區堤頂大道2段407巷32號5樓
安成國際藥業股份有限公司	114臺北市內湖區港墘路221巷41號4樓
哈囉通訊股份有限公司	114臺北市內湖區瑞湖街161號4樓
大元企業管理顧問股份有限公司	114臺北市內湖區陽光街351號8樓之2
曉騰國際股份有限公司	114臺北市內湖區洲子街68號3樓
詮博實業有限公司	114臺北市內湖區民權東路6段11巷43號4樓
太平洋日報股份有限公司	114臺北市內湖區瑞光路8號6樓之1
友元財務顧問股份有限公司	114臺北市內湖區陽光街351號8樓之2
華冠生醫材料股份有限公司	114臺北市內湖區瑞光路258巷2號7樓
新元會議顧問股份有限公司	114臺北市內湖區瑞光路258巷2號6樓之4
聚利管理顧問股份有限公司	114臺北市內湖區基湖路37號12樓
視元素股份有限公司	114臺北市內湖區陽光街383號5樓
勇日企業股份有限公司	114臺北市內湖區港墘路221巷41號5樓之1
奇偶科技股份有限公司	114臺北市內湖區內湖路1段246號9樓
凱立國際資訊股份有限公司	114臺北市內湖區舊宗路2段121巷36號2樓
嵩森科技股份有限公司	114臺北市內湖區瑞光路605號7樓
網際威信股份有限公司	114臺北市內湖區港墘路200號7樓
優視媒體行銷股份有限公司	114臺北市內湖區瑞光路588號6樓
國宇投資股份有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
容海科技有限公司	114臺北市內湖區內湖路1段320號8樓
志展投資股份有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
君展投資股份有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
優文國際股份有限公司	114臺北市內湖區民權東路6段15巷16號4樓之2
力中國際有限公司	114臺北市內湖區舊宗路2段121巷22號4樓
毅人投資股份有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
陽星科技股份有限公司	114臺北市內湖區內湖路1段388號8樓
豐信有限公司	114臺北市內湖區瑞湖街178巷19號1樓
勤能投資股份有限公司	114臺北市內湖區洲子街107號8樓
堯立企業有限公司	114臺北市內湖區陽光街321巷56號2樓之6
世創投資開發有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
金埔股份有限公司	114臺北市內湖區洲子街72號3樓
聚碩科技股份有限公司	114臺北市內湖區內湖路1段516號10樓
漢基投資股份有限公司	114臺北市內湖區瑞光路2號3樓之2
威圖有限公司	114臺北市內湖區瑞光路212號8樓
大松投資股份有限公司	114臺北市內湖區基湖路35巷16號10樓
廣澤投資股份有限公司	114臺北市內湖區內湖路1段512號3樓
台灣費森尤斯醫藥股份有限公司	114臺北市內湖區瑞湖街58號7樓
台灣索斯科股份有限公司	114臺北市內湖區基湖路3巷9號7樓
大昌瑞台股份有限公司	114臺北市內湖區堤頂大道2段407巷20弄3號5樓
源寶開發投資股份有限公司	114臺北市內湖區基湖路35巷16號10樓
美佳投資股份有限公司	114臺北市內湖區內湖路1段512號3樓
日泰投資股份有限公司	114臺北市內湖區內湖路1段512號3樓
台灣麥肯食品股份有限公司	114臺北市內湖區洲子街183號3樓
金居開發股份有限公司	114臺北市內湖區瑞光路392號8樓
神乎科技股份有限公司	114臺北市內湖區舊宗路2段171巷8號
台灣泰華施股份有限公司	114臺北市內湖區瑞光路188巷51號6樓
久威股份有限公司	114臺北市內湖區陽光街365巷39號3樓
漢華水處理工程股份有限公司	114臺北市內湖區瑞光路618號5樓
根固租賃有限公司	114臺北市內湖區內湖路1段320號9樓
根林建設股份有限公司	114臺北市內湖區內湖路1段320號9樓
芊粱股份有限公司	114臺北市內湖區瑞光路76巷49號3樓
全晶股份有限公司	114臺北市內湖區陽光街321巷26號3樓之1
岦勣實業股份有限公司	114臺北市內湖區內湖路1段66號3樓
美利達投資股份有限公司	114臺北市內湖區內湖路1段512號3樓
柯夏爾股份有限公司	114臺北市內湖區內湖路1段306號2樓
三富投資股份有限公司	114臺北市內湖區內湖路1段512號3樓
幸豪有限公司	114臺北市內湖區陽光街321巷26號4樓之17
亞元國際股份有限公司	114臺北市內湖區內湖路1段360巷15號4樓之3
生生投資股份有限公司	114臺北市內湖區洲子街101號7樓
友合生化科技股份有限公司	114臺北市內湖區瑞光路208號6樓
薰輝投資興業有限公司	114臺北市內湖區洲子街101號7樓
懷陽投資有限公司	114臺北市內湖區洲子街101號7樓
映像科技股份有限公司	114臺北市內湖區瑞光路550號2樓
韋日投資有限公司	114臺北市內湖區洲子街101號7樓
曼陀羅國際管理顧問有限公司	114臺北市內湖區內湖路1段516號6樓
大禾多媒體股份有限公司	114臺北市內湖區瑞湖街39號2樓
赤天空股份有限公司	114臺北市內湖區堤頂大道2段407巷20弄35號3樓
元振安股份有限公司	114臺北市內湖區內湖路1段360巷6號3樓
技佳工程科技股份有限公司	114臺北市內湖區堤頂大道2段407巷20弄39號4樓
叢德貿易有限公司	114臺北市內湖區陽光街345巷5號9樓
康孚福祉科技有限公司	114臺北市內湖區瑞光路548巷15號5樓
豐翌實業有限公司	114臺北市內湖區洲子街52號4樓
高甫實業有限公司	114臺北市內湖區瑞光路168號3樓
運驊企業有限公司	114臺北市內湖區內湖路1段360巷10號5樓
德恩資訊股份有限公司	114臺北市內湖區堤頂大道2段15號4樓之2
億騰資訊股份有限公司	114臺北市內湖區瑞光路168號7樓之1
遠拓開發股份有限公司	114臺北市內湖區瑞光路478巷18弄32號7樓
華昌投資實業股份有限公司	114臺北市內湖區瑞光路358巷30弄12號7樓
浩如國際實業有限公司	114臺北市內湖區瑞光路478巷18弄30號7樓
友邦開發股份有限公司	114臺北市內湖區港墘路200號6樓之3
博宣寧股份有限公司	114臺北市內湖區瑞光路358巷30弄8號3樓之1
建奎股份有限公司	114臺北市內湖區內湖路1段314號4樓
運捷貨運股份有限公司	114臺北市內湖區瑞光路26巷20弄25號1樓
奇碁電腦股份有限公司	114臺北市內湖區瑞光路258巷2號7樓
瑞多投資股份有限公司	114臺北市內湖區瑞光路513巷22弄5號8樓之4
年代國際高科技媒體園區開發股份有限公司	114臺北市內湖區瑞湖街39號2樓
願景投資股份有限公司	114臺北市內湖區堤頂大道2段201號5樓
普德開發投資股份有限公司	114臺北市內湖區陽光街345巷5號8樓之1
偉詳實業股份有限公司	114臺北市內湖區瑞光路298號7樓
暐凱國際檢驗科技股份有限公司	114臺北市內湖區內湖路1段120巷15弄28號
精璞投資股份有限公司	114臺北市內湖區瑞光路318號
德懋開發實業股份有限公司	114臺北市內湖區內湖路1段512號3樓
年代投資有限公司	114臺北市內湖區瑞湖街39號2樓
佳禾營造有限公司	114臺北市內湖區瑞光路8號5樓之2
和信超媒體股份有限公司	114臺北市內湖區堤頂大道2段407巷22號8樓
漢鈉儀器有限公司	114臺北市內湖區瑞光路188巷56號3樓
崧弘貿易有限公司	114臺北市內湖區瑞光路358巷38弄36號8樓
首泰國際股份有限公司	114臺北市內湖區堤頂大道2段501號10樓
祺祥投資股份有限公司	114臺北市內湖區洲子街75號4樓之1
台灣藝術電視台股份有限公司	114臺北市內湖區堤頂大道2段407巷20弄7號1樓
永珅自動化機器有限公司	114臺北市內湖區基湖路35巷11號2樓
聯創投資股份有限公司	114臺北市內湖區瑞光路108號3樓
凌泰科技股份有限公司	114臺北市內湖區瑞光路188巷43號4樓
鼎創科技股份有限公司	114臺北市內湖區瑞光路583巷25號2樓
艾睿科技股份有限公司	114臺北市內湖區瑞光路76巷33號4樓
金瑞航空貨運承攬有限公司	114臺北市內湖區堤頂大道2段285之1號
中驛實業有限公司	114臺北市內湖區內湖路1段210號
乙泰通運有限公司	114臺北市內湖區瑞光路76巷107號1樓
仁富股份有限公司	114臺北市內湖區洲子街101號3樓
匯智投資股份有限公司	114臺北市內湖區民權東路6段27號7樓
勁富科技有限公司	114臺北市內湖區瑞光路258巷56號3樓之1
三金投資股份有限公司	114臺北市內湖區瑞光路513巷26號4樓之1
聖立開發股份有限公司	114臺北市內湖區內湖路1段120巷13號7樓
耀群興業有限公司	114臺北市內湖區瑞光路635號4樓
豐業小客車租賃股份有限公司	114臺北市內湖區民權東路6段23之1號
仕德國際有限公司	114臺北市內湖區陽光街321巷26號4樓之16
勤立生物科技股份有限公司	114臺北市內湖區瑞光路581之1號
長兆投資股份有限公司	114臺北市內湖區洲子街58號10樓
翔和展覽有限公司	114臺北市內湖區港墘路185號3樓之1
宥富科技股份有限公司	114臺北市內湖區瑞光路513巷28號3樓
華固股份有限公司	114臺北市內湖區洲子街46號6樓
明周國際出版有限公司	114臺北市內湖區瑞光路268號12樓
台灣寶赫曼企業股份有限公司	114臺北市內湖區瑞光路513巷31號9樓
華格奈米生化科技股份有限公司	114臺北市內湖區堤頂大道2段473號6樓
華光通運有限公司	114臺北市內湖區洲子街194號4樓之1
波龍藝術有限公司	114臺北市內湖區瑞光路206號9樓
艾薇國際有限公司	114臺北市內湖區陽光街321巷8號7樓
朋傑股份有限公司	114臺北市內湖區內湖路1段308號5樓
大采文化出版事業有限公司	114臺北市內湖區瑞光路513巷33號8樓
展業國際行銷股份有限公司	114臺北市內湖區瑞光路192號6樓
升昇實業有限公司	114臺北市內湖區民權東路6段11巷41之1號5樓
青田化工實業有限公司	114臺北市內湖區內湖路1段392號4樓之1
逐鹿投資股份有限公司	114臺北市內湖區內湖路1段66號8樓
台灣樂金顯示科技股份有限公司	114臺北市內湖區堤頂大道2段89號9樓
艾恩特精密工業股份有限公司	114臺北市內湖區堤頂大道2段301號5樓
吉岩科技有限公司	114臺北市內湖區瑞光路66巷29號5樓
台灣庫卡股份有限公司	114臺北市內湖區陽光街298號1樓
如魚得水電影有限公司	114臺北市內湖區堤頂大道2段281號1樓
金泉益國際股份有限公司	114臺北市內湖區洲子街88號9樓
鳶揚國際開發有限公司	114臺北市內湖區瑞光路258巷2號7樓之1
友聯建築股份有限公司	114臺北市內湖區內湖路1段388號3樓
德秀有限公司	114臺北市內湖區洲子街86號1樓
毅樺有限公司	114臺北市內湖區瑞光路76巷69號3樓
力億企業股份有限公司	114臺北市內湖區瑞光路618號3樓
台灣雀巢股份有限公司	114臺北市內湖區瑞光路399號8樓及8樓之1
運佳企業有限公司	114臺北市內湖區內湖路1段360巷8號5樓
章州企業有限公司	114臺北市內湖區洲子街108號9樓
商特股份有限公司	114臺北市內湖區瑞光路513巷28號3樓
穎成股份有限公司	114臺北市內湖區瑞光路441號5樓
錩隆貿易有限公司	114臺北市內湖區內湖路1段316號4樓之1
光元股份有限公司	114臺北市內湖區基湖路39號6樓
穎壯股份有限公司	114臺北市內湖區瑞光路441號5樓
金百世股份有限公司	114臺北市內湖區瑞光路358巷36號7樓
祥通貿易股份有限公司	114臺北市內湖區陽光街321巷18號
其上有限公司	114臺北市內湖區陽光街321巷18號
坦森行股份有限公司	114臺北市內湖區陽光街345巷5號2樓
長連汽車企業股份有限公司	114臺北市內湖區瑞光路76巷26號1樓
大眾電腦股份有限公司	114臺北市內湖區陽光街300號1至9樓
雅盟企業有限公司	114臺北市內湖區瑞光路358巷38弄36號3樓
亞可有限公司	114臺北市內湖區洲子街75號9樓之1
貝佳工業股份有限公司	114臺北市內湖區瑞光路268號7樓
正弘有限公司	114臺北市內湖區堤頂大道2段497號13樓
林迦實業有限公司	114臺北市內湖區瑞光路478巷20號8樓
敦吉科技股份有限公司	114臺北市內湖區西康里內湖路1段120巷8號
福運達國際有限公司	114臺北市內湖區洲子街75號6樓
商富實業股份有限公司	114臺北市內湖區瑞光路76巷26號1樓
維聚股份有限公司	114臺北市內湖區內湖路1段118號5樓
台灣福祿貿易股份有限公司	114臺北市內湖區瑞光路408號6樓之3
永磐科技股份有限公司	114臺北市內湖區瑞光路478巷18弄20號3樓
佳堯企業有限公司	114臺北市內湖區內湖路1段120巷21號5樓
南京資訊股份有限公司	114臺北市內湖區陽光街365巷24號
聯合大地工程顧問股份有限公司	114臺北市內湖區瑞光路583巷21號5樓
鑫客實業有限公司	114臺北市內湖區瑞光路258巷55號4樓之1
百年建設股份有限公司	114臺北市內湖區內湖路1段512號3樓
台璟企業股份有限公司	114臺北市內湖區瑞光路8號5樓之1
耕青生技實業有限公司	114臺北市內湖區內湖路1段360巷15號3樓之3
浩鑫股份有限公司	114臺北市內湖區瑞光路76巷30號5樓
佑廸實業有限公司	114臺北市內湖區瑞光路618號10樓
九彥貿易有限公司	114臺北市內湖區內湖路1段66號10樓
豐煜貿易股份有限公司	114臺北市內湖區內湖路1段360巷17號3樓
尚品彩色製版印刷股份有限公司	114臺北市內湖區洲子街81號5樓
嘉仁國際有限公司	114臺北市內湖區堤頂大道2段285號6樓
立鼎工程有限公司	114臺北市內湖區瑞光路26巷20弄25號3樓
朋成企業股份有限公司	114臺北市內湖區瑞光路76巷18號3樓
均達電子工業股份有限公司	114臺北市內湖區港墘路221巷19、21號7樓
仁寶電腦工業股份有限公司	114臺北市內湖區瑞光路581號及581之1號
海州企業股份有限公司	114臺北市內湖區瑞光路258巷50號6樓
昱勤股份有限公司	114臺北市內湖區洲子街65號4樓
春地建設開發股份有限公司	114臺北市內湖區內湖路1段512號3樓
奐志實業股份有限公司	114臺北市內湖區瑞光路513巷32號6樓
瑩諮科技股份有限公司	114臺北市內湖區瑞光路2號5樓
新眾電腦股份有限公司	114臺北市內湖區陽光街298號4樓
世可國際股份有限公司	114臺北市內湖區洲子街73之1號
聯閤科技股份有限公司	114臺北市內湖區洲子街100號6樓
信成保險經紀人股份有限公司	114臺北市內湖區內湖路一段246號10樓
台灣澳士汀汽車股份有限公司	114臺北市內湖區民權東路6段23之1號
新美齊股份有限公司	114臺北市內湖區陽光街300號7樓
巨航興業有限公司	114臺北市內湖區瑞光路66巷23號
泰邦企業有限公司	114臺北市內湖區民權東路6段21巷25號1樓
英貿有限公司	114臺北市內湖區堤頂大道2段477號8樓之1
漢欣光電股份有限公司	114臺北市內湖區陽光街300號7樓之2
展達廣告事業有限公司	114臺北市內湖區港墘路185號3樓
亞矽科技股份有限公司	114臺北市內湖區洲子街58號7樓
東晨企業有限公司	114臺北市內湖區瑞光路316巷56號6樓
豐登實業股份有限公司	114臺北市內湖區瑞光路258巷2號8樓
鴻霖海運承攬運送股份有限公司	114臺北市內湖區瑞光路360號7樓
圓圓寶石企業有限公司	114臺北市內湖區基湖路35巷49號
漢旭股份有限公司	114臺北市內湖區內湖路1段324號7樓
華都文化事業有限公司	114臺北市內湖區洲子街76號5樓
聯興運動器材股份有限公司	114臺北市內湖區民權東路6段18之2號5樓
倚天資訊股份有限公司	114臺北市內湖區瑞光路68號6樓
友勁科技股份有限公司	114臺北市內湖區瑞湖街158號5樓
順昶塑膠股份有限公司	114臺北市內湖區基湖路37號12樓
昱匯國際股份有限公司	114臺北市內湖區洲子街83號5樓
新彩廣告事業有限公司	114臺北市內湖區瑞光路478巷18弄22號6樓
福綱興業股份有限公司	114臺北市內湖區基湖路35巷49號8樓
金星實業有限公司	114臺北市內湖區陽光街357號
岱原有限公司	114臺北市內湖區洲子街61號6樓
好年實業有限公司	114臺北市內湖區瑞光路258巷56號4樓之3
普康科技有限公司	114臺北市內湖區瑞光路258巷2號6樓之1
冠第企業有限公司	114臺北市內湖區瑞光路478巷18弄30號4樓之1
偉向企業有限公司	114臺北市內湖區瑞湖街103號5樓-5
富健和生物科技股份有限公司	114臺北市內湖區瑞湖街88號8樓
艾克萊國際有限公司	114臺北市內湖區民權東路6段23號3樓之3
聲宏企業股份有限公司	114臺北市內湖區瑞光路188巷48號6樓
聯眾廣告股份有限公司	114臺北市內湖區陽光街321巷56號6樓
高進電通股份有限公司	114臺北市內湖區內湖路1段316號2樓
磐亞實業有限公司	114臺北市內湖區舊宗路2段181巷16號4樓
尚磊科技股份有限公司	114臺北市內湖區瑞光路258巷50號2樓
伸貿實業股份有限公司	114臺北市內湖區內湖路1段306號9樓之2
台灣三豐儀器股份有限公司	114臺北市內湖區洲子街71號4樓
星旭企業有限公司	114臺北市內湖區瑞湖街178巷19號3樓
亞慶金屬工業有限公司	114臺北市內湖區民權東路6段21巷31號4樓
六發窯業股份有限公司	114臺北市內湖區內湖路1段320號9樓
詠翰科技股份有限公司	114臺北市內湖區港墘路200號9樓
生昇塑膠股份有限公司	114臺北市內湖區瑞光路316巷5號
保磁工業股份有限公司	114臺北市內湖區基湖路35巷51號
大岱影視創意股份有限公司	114臺北市內湖區堤頂大道2段281號1樓
斑柏企業股份有限公司	114臺北市內湖區洲子街79之1號12樓
捷美海運承攬運送股份有限公司	114臺北市內湖區瑞光路302號5樓之1
文浩實業有限公司	114臺北市內湖區洲子街102號3樓
臺克實業股份有限公司	114臺北市內湖區瑞光路66巷23號4樓
瑞其有限公司	114臺北市內湖區陽光街345巷16號4樓
友俊國際股份有限公司	114臺北市內湖區瑞光路258巷56號4樓之1
中央醫療器材股份有限公司	114臺北市內湖區瑞光路298號3樓
昶懋國際股份有限公司	114臺北市內湖區洲子街83號7樓
春泉貿易有限公司	114臺北市內湖區基湖路3巷9號7樓之1
意茂股份有限公司	114臺北市內湖區基湖路3巷45號6樓
臺灣獅樂股份有限公司	114臺北市內湖區港墘路221巷37號3樓
洲際通信網絡股份有限公司	114臺北市內湖區洲子街75號5樓
綿春纖維工業股份有限公司	114臺北市內湖區內湖路1段392號、396號10樓、396號10樓之1
朝翔國際有限公司	114臺北市內湖區瑞湖街103號5樓之5
旭蒙科技股份有限公司	114臺北市內湖區陽光街345巷12號5樓
年益實業股份有限公司	114臺北市內湖區內湖路1段360巷15號4樓之2
動喜股份有限公司	114臺北市內湖區瑞光路513巷22弄5號8樓之4
新鈺生技股份有限公司	114臺北市內湖區瑞光路360號6樓
葆旺股份有限公司	114臺北市內湖區洲子街61、63、65號7樓
穩好高分子化學工業股份有限公司	114臺北市內湖區內湖路1段120巷21號6樓
量記有限公司	114臺北市內湖區基湖路10巷52號1樓
宇格有限公司	114臺北市內湖區瑞光路258巷2號3樓之3
京侖國際有限公司	114臺北市內湖區瑞光路168號3樓之2
至上電子股份有限公司	114臺北市內湖區港墘路183、185、187、189號6樓、185號6樓之1
春年興業股份有限公司	114臺北市內湖區內湖路1段512號3樓
金石資訊股份有限公司	114臺北市內湖區瑞光路66巷27號2樓
登富企業有限公司	114臺北市內湖區基湖路35巷49號5樓之1
合迪股份有限公司	114臺北市內湖區瑞光路362號5樓
台灣筆克股份有限公司	114臺北市內湖區瑞光路208號4樓
台灣騖德華舜物流有限公司	114臺北市內湖區堤頂大道2段411號3樓
強晟國際股份有限公司	114臺北市內湖區瑞光路76巷37號2樓
惠高運通有限公司	114臺北市內湖區瑞湖街103號5樓之2
德業聚股份有限公司	114臺北市內湖區瑞光路437號4樓
精英電腦股份有限公司	114臺北市內湖區堤頂大道2段239號
業茂實業股份有限公司	114臺北市內湖區瑞光路258巷50號6樓之1
鴻霖商業機器有限公司	114臺北市內湖區瑞光路258巷50號
菲力士國際企業有限公司	114臺北市內湖區內湖路1段120巷21號1樓
企懋股份有限公司	114臺北市內湖區瑞光路441號5樓
臺灣麥克股份有限公司	114臺北市內湖區瑞光路258巷50號5樓之1
廣碩實業有限公司	114臺北市內湖區陽光街321巷8號6樓
兆峯有限公司	114臺北市內湖區瑞光路188巷43號3樓
楷升運通有限公司	114臺北市內湖區瑞光路478巷20號4樓
台灣利特電子股份有限公司	114臺北市內湖區堤頂大道2段181號8樓
艾波比股份有限公司	114臺北市內湖區基湖路18號10樓
亞東工業氣體股份有限公司	114臺北市內湖區瑞光路399號7樓
聯慷資訊科技股份有限公司	114臺北市內湖區瑞光路392號15樓
台灣樂金電器股份有限公司	114臺北市內湖區基湖路3巷47號6樓
立寶電子股份有限公司	114臺北市內湖區內湖路1段120巷13號3樓之1
乃群企業股份有限公司	114臺北市內湖區內湖路1段396號9樓之1
富渝營造有限公司	114臺北市內湖區洲子街77號6樓之1
盈吉貿易有限公司	114臺北市內湖區瑞光路132巷27號
六和興業有限公司	114臺北市內湖區舊宗路2段181巷10號3樓
昌達科技股份有限公司	114臺北市內湖區陽光街349號4樓
銘聲製作股份有限公司	114臺北市內湖區堤頂大道2段407巷20弄39號7樓
廣星科技股份有限公司	114臺北市內湖區瑞光路433號4樓之1
長屏企業股份有限公司	114臺北市內湖區瑞光路206號9樓
統迪企業有限公司	114臺北市內湖區陽光街345巷5號5樓
威富企業股份有限公司	114臺北市內湖區內湖路1段122巷15號1樓
協達紡織有限公司	114臺北市內湖區堤頂大道2段477號7樓
均岱有限公司	114臺北市內湖區瑞光路2號4樓之1
光倫電子股份有限公司	114臺北市內湖區基湖路39號6樓
光友股份有限公司	114臺北市內湖區基湖路39號6樓
翰可國際股份有限公司	114臺北市內湖區瑞光路258巷2號6樓之2
挺安企業有限公司	114臺北市內湖區瑞光路76巷63號3樓
潤達國際有限公司	114臺北市內湖區港墘路200號9樓
宙揚企業股份有限公司	114臺北市內湖區內湖路1段66號5樓
芳協股份有限公司	114臺北市內湖區洲子街83號5樓
造駿國際企業有限公司	114臺北市內湖區民權東路6段21巷35號5樓
東研信超股份有限公司	114臺北市內湖區舊宗路2段171巷18號4樓
